Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1991,6,15,1.91765,2.14877642372917,26.6298
1991,6,16,0,2.29742043022685,23.4266
1991,6,17,0,2.02043308372685,20.5373
1991,6,18,0,1.79160718643287,20.4028
1991,6,19,0,1.73304659002778,21.3235
1991,6,20,0,1.68719464467824,23.1294
1991,6,21,0,1.67410958277315,25.067
1991,6,22,0,1.65967837359259,25.2977
1991,6,23,0,1.56361704882176,25.9611
1991,6,24,0,1.45472585594213,27.9989
1991,6,25,0,1.40413368582639,28.7921
1991,6,26,0,1.36982287991435,28.8587
1991,6,27,0,1.29857277198843,27.2775
1991,6,28,0,1.24673015227083,25.7797
1991,6,29,0,1.25624888087269,25.8063
1991,6,30,0,1.35032607387731,26.5262
1991,7,1,1.65027,1.45251842960417,25.8528
1991,7,2,0.520689,1.50403567723148,23.5331
1991,7,3,0.00940698,1.84762222471991,21.2432
1991,7,4,0.00754449,2.22551319827546,21.3272
1991,7,5,0,2.20492543875926,18.914
1991,7,6,0,2.17713483434259,19.158
1991,7,7,0,1.76399521767361,21.9079
1991,7,8,0,1.39559107349537,26.0475
1991,7,9,0,1.19292254032176,28.1118
1991,7,10,0,1.11209628518981,28.7774
1991,7,11,0,1.1555813080787,28.9908
1991,7,12,0,1.14280885857407,30.3904
1991,7,13,0,1.01101402247685,30.5951
1991,7,14,0,0.994764557497685,30.718
1991,7,15,0,0.964498573256945,30.3824
1991,7,16,0.0282283,0.955349875659722,31.2254
1991,7,17,0,0.957748697344907,31.8221
1991,7,18,6.60823e-07,1.06890473516667,32.1903
1991,7,19,0,1.14452503685417,30.329
1991,7,20,1.05265,1.08191323893287,26.8659
1991,7,21,0,1.11661959522917,25.1517
1991,7,22,0,1.06404967319213,26.2371
1991,7,23,0,0.972824270861111,27.4481
1991,7,24,0,0.877451969340278,27.3759
1991,7,25,0,0.809532140456019,26.7849
1991,7,26,0,0.7742898771875,27.3833
1991,7,27,0,0.786309504993055,28.7269
1991,7,28,0.00453883,0.858580388104167,27.6468
1991,7,29,0,0.956829999678241,21.4591
1991,7,30,0,1.03229080524306,19.2135
1991,7,31,0,0.942379650962963,21.0737
1991,8,1,0,0.807847861400463,24.7873
1991,8,2,0,0.797116962266204,28.0336
1991,8,3,0,0.788287256914352,29.728
